Pat Summerall   Himself (uncredited)    1 - "Death Has a Shadow"
Erik Estrada    Ponch   2 - "I Never Met the Dead Man"
John O'Hurley   The Cult Leader     3 - "Chitty Chitty Death Bang"
Waylon Jennings     Himself     3 - "Chitty Chitty Death Bang"
Alex Rocco  The Soccer Parent   4 - "Mind Over Murder"
Leslie Uggams   Herself     4 - "Mind Over Murder"
Michelle Kwan   Herself     5 - "A Hero Sits Next Door"
Bobby Slayton   Leonard Cornfeathers    6 - "The Son Also Draws"
Dick Van Patten     Tom Bradford    7 - "Brian: Portrait of a Dog"
Mary Scheer     Ann Landers/Mary/Mother     7 - "Brian: Portrait of a Dog"
Fairuza Balk    Connie D'Amico  1 - Peter, Peter, Caviar Eater
Gregory Jbara   Jonathan    1 - Peter, Peter, Caviar Eater
Robin Leach     Himself     1 - Peter, Peter, Caviar Eater
Charles Durning     Francis Griffin     2 - Holy Crap
Olivia Hack     Various     2 - Holy Crap
Dwight Schultz  The Pope    2 - Holy Crap
Florence Stanley    Thelma Griffin  2 - Holy Crap
Patrick Duffy   Bobby Ewing     3 - Da Boom
Victoria Principal  Pamela Ewing    3 - Da Boom
Jack Perkins    Himself     3 - Da Boom
Will Sasso  Randy Newman    3 - Da Boom
Sam Waterston   Dr. Kaplan  4 - Brian in Love
Debra Wilson    Mrs. Kraner/Sandy Belford   5 - Love Thy Trophy
Norm Macdonald  Death (uncredited)  6 - Death Is a Bitch
Karen Black     Herself     6 - Death Is a Bitch
Candice Bergen  Gloria Ironbox  8 - I Am Peter, Hear Me Roar
Faith Ford  Corky Sherwood  8 - I Am Peter, Hear Me Roar
Martin Mull     Mr. Harris  9 - If I'm Dyin', I'm Lyin'
Lee Majors  Himself     10 - Running Mates
Dwight Schultz  Randall Fargus  10 - Running Mates
James Carville  Himself (uncredited)    10 - Running Mates
Jack Sheldon    'Vagina Junction' Conductor (uncredited)    10 - Running Mates
Candice Bergen  Murphy Brown    11 - A Picture Is Worth a 1,000 Bucks
Charles Kimbrough   Jim Dial    11 - A Picture Is Worth a 1,000 Bucks
Joe Regalbuto   Frank Fontana/Bull/Editor   11 - A Picture Is Worth a 1,000 Bucks
Brian Doyle-Murray  Luke    13 - Road to Rhode Island
Victoria Principal  Dr. Amanda Rebecca  13 - Road to Rhode Island
Gregg Allman    Himself     14 - Let's Go to the Hop
Mary Kay Bergman    Various     14 - Let's Go to the Hop
Tara Strong     Janet   15 - Dammit Janet!
Mo Collins  Various     15 - Dammit Janet!
Haley Joel Osment   Various     15 - Dammit Janet!
Camryn Manheim  Various     15 - Dammit Janet!
Robert Costanzo     Biff/Louie  16 - There's Something About Paulie
Jon Cryer   Kevin   16 - There's Something About Paulie
Alan King   The Don     16 - There's Something About Paulie
Michael Chiklis     Big Fat Paulie  16 - There's Something About Paulie
Jay Mohr    Various     17 - He's Too Sexy for His Fat
