1   Sam McMurray    Worker  003–103     7G03    "Homer's Odyssey"[34]
1   Ron Taylor  Bleeding Gums Murphy    006–106     7G06    "Moaning Lisa"[35]
1   Albert Brooks[B]    Cowboy Bob  007–107     7G09    "The Call of the Simpsons"[36]
1   Albert Brooks   Jacques     009–109     7G11    "Life on the Fast Lane"[37]
1   Sam McMurray    Gulliver Dark   010–110     7G10    "Homer's Night Out"[38]
1   Kelsey Grammer  Sideshow Bob    012–112     7G12    "Krusty Gets Busted"[39]
1   June Foray  Babysitter service receptionist     013–113     7G01    "Some Enchanted Evening"[40]
1   Penny Marshall  Ms. Lucille Botz    013–113     7G01    "Some Enchanted Evening"[41]
1   Paul Willson    Florist     013–113     7G01    "Some Enchanted Evening"[40]
2   Harvey Fierstein    Karl    015–202     7F02    "Simpson and Delilah"[42]
2   James Earl Jones    Removal man
2   Tony Bennett    Himself     018–205     7F05    "Dancin' Homer"[44]
2   Daryl Coley     Bleeding Gums Murphy    018–205     7F05    "Dancin' Homer"[45]
2   Ken Levine  Dan Horde   018–205     7F05    "Dancin' Homer"[45]
2   Tom Poston  Capital City Goofball   018–205     7F05    "Dancin' Homer"[44]
2   Greg Berg   Rory    020–207     7F07    "Bart vs. Thanksgiving"[46]
2   Alex Rocco  Roger Meyers Jr.    022–209     7F09    "Itchy & Scratchy & Marge"[47]
2   Phil Hartman    Lionel Hutz
2   Larry King  Himself     024–211     7F11    "One Fish, Two Fish, Blowfish, Blue Fish"[49]
2   Joey Miyashima  Toshiro     024–211     7F11    "One Fish, Two Fish, Blowfish, Blue Fish"[50]
2   Sab Shimono     Master Sushi Chef   024–211     7F11    "One Fish, Two Fish, Blowfish, Blue Fish"[49]
2   George Takei    Akira   024–211     7F11    "One Fish, Two Fish, Blowfish, Blue Fish"[49]
2   Diana Tanaka    Hostess     024–211     7F11    "One Fish, Two Fish, Blowfish, Blue Fish"[50]
2   Jon Lovitz  Artie Ziff
2   Phil Hartman    Troy McClure
2   Danny DeVito    Herbert Powell  028–215     7F16    "Oh Brother, Where Art Thou?"[54]
2   Tracey Ullman   Emily Winthropp     029–216     7F14    "Bart's Dog Gets an F"[55]
2   Frank Welker    Santa's Little Helper
2   Phil Hartman    Lionel Hutz
2   Audrey Meadows  Bea Simmons     030–217     7F17    "Old Money"[57]
2   Jon Lovitz  Professor Lombardo  031–218     7F18    "Brush with Greatness"[58]
2   Ringo Starr     Himself     031–218     7F18    "Brush with Greatness"[58]
2   Dustin Hoffman[C]   Mr. Bergstrom   032–219     7F19    "Lisa's Substitute"[59]
2   Cloris Leachman     Mrs. Glick  034–221     7F21    "Three Men and a Comic Book"[60]
2   Daniel Stern    Narrator    034–221     7F21    "Three Men and a Comic Book"[60]
3   Michael Jackson[D]  Leon Kompowsky  036–301     7F24    "Stark Raving Dad"[61]
3   Kipp Lennon     Leon Kompowsky's singing voice  036–301     7F24    "Stark Raving Dad"[22]
3   Lona Williams   Minnesota girl  037–302     8F01    "Mr. Lisa Goes to Washington"[63]
3   Neil Patrick Harris     Himself playing Bart Simpson    039–304     8F03    "Bart the Murderer"[64]
3   Phil Hartman    Lionel Hutz
3   Joe Mantegna    Fat Tony
3   Chick Hearn     Himself     040–305     8F04    "Homer Defined"[66]
3   Magic Johnson   Himself     040–305     8F04    "Homer Defined"[66]
3   Jon Lovitz  Aristotle Amadopolis    040–305     8F04    "Homer Defined"[66]
3   Jackie Mason    Rabbi Krustofski    041–306     8F05    "Like Father, Like Clown"[67]
