/playerfile/quincy_acy/   <span class="playerInfoValuePlayerInfoBorders">Oct 6, 1990
/playerfile/jeff_adrien/   <span class="playerInfoValuePlayerInfoBorders">Feb 10, 1986
/playerfile/arron_afflalo/   <span class="playerInfoValuePlayerInfoBorders">Oct 15, 1985
/playerfile/josh_akognon/   <span class="playerInfoValuePlayerInfoBorders">Feb 10, 1986
/playerfile/cole_aldrich/   <span class="playerInfoValuePlayerInfoBorders">Oct 31, 1988
/playerfile/lamarcus_aldridge/   <span class="playerInfoValuePlayerInfoBorders">Jul 19, 1985
/playerfile/lavoy_allen/   <span class="playerInfoValuePlayerInfoBorders">Feb 4, 1989
/playerfile/ray_allen/   <span class="playerInfoValuePlayerInfoBorders">Jul 20, 1975
/playerfile/tony_allen/   <span class="playerInfoValuePlayerInfoBorders">Jan 11, 1982
/playerfile/al-farouq_aminu/   <span class="playerInfoValuePlayerInfoBorders">Sep 21, 1990
/playerfile/lou_amundson/   <span class="playerInfoValuePlayerInfoBorders">Dec 7, 1982
/playerfile/chris_andersen/   <span class="playerInfoValuePlayerInfoBorders">Jul 7, 1978
/playerfile/alan_anderson/   <span class="playerInfoValuePlayerInfoBorders">Oct 16, 1982
