Dec  9 1974
Jan 30 1990
Jan 26 1988
Apr 11 1986
Jan 29 1978
May  8 1989
Jan 29 1989
Apr 29 1979
May 29 1975
Feb  5 1987
Dec 16 1989
Sep  4 1988
Nov 25 1985
Sep  3 1984
Jan 23 1975
May 23 1976
Nov  5 1984
Sep  2 1987
Apr  9 1987
Jan 28 1984
Dec 30 1981
Dec  9 1977
May 16 1986
Jun 29 1985
Aug 18 1987
Oct  1 1990
Apr 21 1989
Mar  2 1978
Jan 20 1977
Jan 25 1991
Nov 21 1989
Aug 18 1991
Jul 25 1991
Aug 21 1981
Mar  2 1982
Aug 10 1984
Nov 30 1988
Oct  7 1984
Jun 23 1982
Jun 15 1987
Aug  9 1989
Sep 19 1986
Dec 29 1981
Jul 16 1990
Nov 21 1989
Dec 28 1972
Jan  8 1990
Feb 20 1990
Dec 27 1987
Feb 28 1990
Oct  6 1988
Sep  8 1986
Dec 20 1989
Oct 18 1987
May 10 1989
Dec  7 1988
Mar 20 1985
May  6 1982
Aug 29 1985
Jun 19 1989
Mar 29 1990
Feb  8 1990
Jan  6 1989
Jul 16 1985
Jul 21 1989
Jul  5 1980
Feb 17 1986
Oct 26 1988
Dec 24 1981
Aug 13 1982
Jul 13 1982
May 21 1988
Aug  7 1976
Aug 11 1982
Sep 27 1989
Feb  4 1988
Feb 27 1990
Mar 16 1987
May  2 1987
Mar 16 1986
Feb  5 1976
Mar  7 1986
Sep 12 1989
Aug 11 1983
Nov 29 1988
Jan 26 1990
Nov 20 1973
Nov 26 1981
Oct  8 1980
Jul 11 1990
Sep  9 1990
Nov 12 1989
Apr 14 1990
Apr 18 1990
Dec 17 1982
Jan 27 1991
Oct 26 1978
