#stateJuly 1, 2012April 1, 2010
Alabama,4822023,4779736,4447100 7 9 682819 635300 494122 1.53%
Alaska,731449,710231,626932 1 3 710231 626932 208977 0.23%
Arizona,6553255,6392017,5130632 9 11 799002 641329 513063 2.04%
Arkansas,2949131,2915918,2673400 4 6 728980 668350 445567 0.93%
California,38041430,37253956,33871648 53 55 702905 639088 615848 11.91%
Colorado,5187582,5029196,4301261 7 9 720704 614466 477918 1.61%
Connecticut,3590347,3574097,3405565 5 7 714819 681113 486509 1.14%
Delaware,917092,897934,783600 1 3 900877 783600 261200 0.29%
District of Columbia,632323,601723, 	572059 	[6] 	3 	— 	— 	190686 	0.19%
Florida,19317568,18801310,15982378 27 29 752052 639295 591940 6.01%
Georgia,9919945,9687653,8186453 14 16 745204 629727 545764 3.10%
Hawaii,1392313,1360301,1211537 2 4 680151 605769 302884 0.43%
Idaho,1595728,1567582,1293953 2 4 783791 646977 323488 0.51%
Illinois,12875255,12830632,12419293 18 20 675296 653647 591395 4.10%
Indiana,6537334,6483802,6080485 9 11 720422 675609 552771 2.07%
Iowa,3074186,3046355,2926324 4 6 609271 585265 418046 0.97%
Kansas,2885905,2853118,2688418 4 6 713280 672105 448070 0.91%
Kentucky,4380415,4339367,4041769 6 8 723228 673628 505221 1.39%
Louisiana,4601893,4533372,4468976 6 8 647625 638425 496553 1.45%
Maine,1329192,1328361,1274923 2 4 664181 637462 318731 0.42%
Maryland,5884563,5773552,5296486 8 10 721694 662061 529649 1.85%
Massachusetts,6646144,6547629,6349097 9 11 654763 634910 529091 2.09%
Michigan,9883360,9883640,9938444 14 16 658909 662563 584614 3.16%
Minnesota,5379139,5303925,4919479 8 10 662991 614935 491948 1.70%
Mississippi,2984926,2967297,2844658 4 6 741824 711165 474110 0.95%
Missouri,6021988,5988927,5595211 8 10 665436 621690 508656 1.91%
Montana,1005141,989415,902195 1 3 999243 902195 300732 0.32%
Nebraska,1855525,1826341,1711263 3 5 608780 570421 342253 0.58%
Nevada,2758931,2700551,1998257 4 6 900184 666086 399651 0.86%
New Hampshire,1320718,1316470,1235786 2 4 658235 617893 308947 0.42%
New Jersey,8864590,8791894,8414350 12 14 676300 647258 560957 2.81%
New Mexico,2085538,2059179,1819046 3 5 686393 606349 363809 0.66%
New York,19570261,19378102,18976457 27 29 668210 654361 612144 6.19%
North Carolina,9752073,9535483,8049313 13 15 733499 619178 536621 3.05%
North Dakota,699628,672591,642200 1 3 672591 642200 214067 0.21%
Ohio,11544225,11536504,11353140 16 18 640917 630730 567657 3.69%
Oklahoma,3814820,3751351,3450654 5 7 750270 690131 492951 1.20%
Oregon,3899353,3831074,3421399 5 7 766215 684280 488771 1.22%
Pennsylvania,12763536,12702379,12281054 18 20 668546 646371 584812 4.06%
Rhode Island,1050292,1052567,1048319 2 4 526284 524160 262080 0.34%
South Carolina,4723723,4625364,4012012 7 9 770894 668669 501502 1.48%
South Dakota,833354,814180,754844 1 3 814180 754844 251615 0.26%
Tennessee,6456243,6346105,5689283 9 11 705123 632143 517208 2.03%
Texas,26059203,25145561,20851820 36 38 785799 651619 613289 8.04%
Utah,2855287,2763885,2233169 4 6 921295 744390 446634 0.88%
Vermont,626011,625741,608827 1 3 625741 608827 202942 0.20%
Virginia,8185867,8001024,7078515 11 13 727366 643501 544501 2.56%
Washington,6897012,6724540,5894121 10 12 747171 654902 535829 2.15%
West Virginia,1855413,1852994,1808344 3 5 617665 602781 361669 0.59%
Wisconsin,5726398,5686986,5363675 8 10 710873 670459 536368 1.82%
Wyoming,576412,563626,493782 1 3 563626 493782 164594 0.18%
