#from http://vehicle-fatalities.findthedata.org/
#State,  Fatalityu rate per 100k, drunk driving %, total traffic deaths, total fatal car crashes
Texas, 11.87, 42, 2998, 2728
California, 7.27, 29, 2715, 2500
Florida, 12.98, 27, 2445, 2262
Pennsylvania, 10.42, 33, 1324, 1208
North Carolina, 13.79, 29, 1319, 1217
Georgia, 12.81, 24, 1244, 1148
New York, 6.19, 30, 1200, 1127
Ohio, 9.36, 32, 1080, 984
Tennessee, 16.22, 27, 1031, 957
Michigan, 9.54, 24, 942, 873
Illinois, 7.22, 32, 927, 858
Alabama, 18.01, 32, 862, 792
Missouri, 13.66, 32, 819, 776
South Carolina, 17.47, 44, 810, 752
Arizona, 11.88, 25, 762, 698
Kentucky, 17.49, 23, 760, 694
Indiana, 11.62, 26, 754, 701
Virginia, 9.22, 29, 740, 689
Louisiana, 15.63, 32, 710, 633
Oklahoma, 17.76, 33, 668, 616
Mississippi, 21.58, 37, 641, 581
Wisconsin, 10.05, 36, 572, 528
Arkansas, 19.27, 31, 563, 509
New Jersey, 6.32, 27, 556, 530
Maryland, 8.52, 31, 493, 461
Washington, 6.79, 37, 458, 420
Colorado, 8.87, 28, 448, 409
Kansas, 15.08, 39, 431, 376
Minnesota, 7.74, 31, 411, 364
Iowa, 12.79, 23, 390, 348
New Mexico, 16.75, 32, 346, 314
Connecticut, 8.92, 38, 319, 298
Oregon, 8.26, 22, 317, 292
West Virginia, 16.99, 28, 315, 282
Massachusetts, 4.79, 36, 314, 299
Nevada, 9.50, 27, 257, 235
Utah, 8.50, 19, 236, 202
Idaho, 13.30, 34, 209, 185
Nebraska, 10.38, 27, 190, 166
Montana, 19.07, 39, 189, 161
Maine, 12.12, 23, 161, 144
Wyoming, 27.48, 35, 155, 139
South Dakota, 17.16, 26, 140, 124
New Hampshire, 9.72, 35, 128, 120
Hawaii, 8.28, 37, 113, 109
North Dakota, 15.58, 44, 105, 92
Delaware, 11.22, 36, 101, 92
Vermont, 11.34, 25, 71, 63
Rhode Island, 6.27, 38, 66, 64
Alaska, 7.84, 28, 56, 52
District of Columbia, 3.97, 20, 24, 24
