Season 	Guest star
1 	"Sam McMurray"
1 	"Ron Taylor"
1 	"Albert Brooks[B]"
1 	"Albert Brooks"
1 	"Sam McMurray"
1 	"Kelsey Grammer"
1 	"June Foray"
1 	"Penny Marshall"
1 	"Paul Willson"
2 	"Harvey Fierstein"
2 	"James Earl Jones"
2 	"Tony Bennett"
2 	"Daryl Coley"
2 	"Ken Levine"
2 	"Tom Poston"
2 	"Greg Berg"
2 	"Alex Rocco"
2 	"Phil Hartman"
2 	"Larry King"
2 	"Joey Miyashima"
2 	"Sab Shimono"
2 	"George Takei"
2 	"Diane Tanaka"
2 	"Jon Lovitz"
2 	"Phil Hartman"
2 	"Danny DeVito"
2 	"Tracey Ullman"
2 	"Frank Welker"
2 	"Phil Hartman"
2 	"Audrey Meadows"
2 	"Jon Lovitz"
2 	"Ringo Starr"
2 	"Dustin Hoffman[C]"
2 	"Cloris Leachman"
2 	"Daniel Stern"
3 	"Michael Jackson[D]"
3 	"Kipp Lennon"
3 	"Lona Williams"
3 	"Neil Patrick Harris"
3 	"Phil Hartman"
3 	"Joe Mantegna"
3 	"Chick Hearn"
3 	"Magic Johnson"
3 	"Jon Lovitz"
3 	"Jackie Mason"
3 	"Frank Welker"
3 	"Phil Hartman"
3 	"Larry McKay"
3 	"Aerosmith[E]"
3 	"Phil Hartman"
3 	"Phil Hartman"
3 	"Sting"
3 	"Phil Hartman"
3 	"Phil Hartman"
3 	"Wade Boggs"
3 	"Jose Canseco"
3 	"Roger Clemens"
3 	"Terry Cashman"
3 	"Ken Griffey, Jr."
3 	"Don Mattingly"
3 	"Steve Sax"
3 	"Mike Scioscia"
3 	"Ozzie Smith"
3 	"Darryl Strawberry"
3 	"Steve Allen"
3 	"Frank Welker"
3 	"Beverly D'Angelo"
3 	"Kelsey Grammer"
3 	"Christopher Guest"
3 	"Michael McKean"
3 	"Phil Hartman"
3 	"Kimmy Robertson"
3 	"Danny DeVito"
3 	"Joe Frazier"
4 	"Phil Hartman"
4 	"Jon Lovitz"
4 	"Bob Hope"
4 	"Lona Williams"
4 	"Phil Hartman"
4 	"Tom Jones"
4 	"Sara Gilbert"
4 	"Phil Hartman"
4 	"Pamela Reed"
4 	"Phil Hartman"
4 	"Linda Ronstadt"
4 	"Adam West"
4 	"Elizabeth Taylor"
4 	"Phil Hartman"
4 	"Leonard Nimoy"
4 	"Phil Hartman"
4 	"Phil Hartman"
4 	"Michael Carrington"
4 	"Phil Hartman"
4 	"Joyce Brothers"
4 	"Brooke Shields"
4 	"Barry White"
4 	"David Crosby"
4 	"Phil Hartman"
4 	"Johnny Carson"
4 	"Hugh Hefner"
4 	"Bette Midler"
4 	"Luke Perry"
4 	"Red Hot Chili Peppers[F]"
4 	"Elizabeth Taylor"
4 	"Barry White"
5 	"David Crosby"
5 	"The Dapper Dans[G]"
5 	"George Harrison"
5 	"Kelsey Grammer"
5 	"Ramones[H]"
5 	"Phil Hartman"
5 	"Frank Welker"
5 	"George Fenneman"
5 	"Phil Hartman"
5 	"Pamela Reed"
5 	"Albert Brooks"
5 	"James Brown"
5 	"Phil Hartman"
5 	"Ernest Borgnine"
5 	"Phil Hartman"
