season,, Guest_star,,  bday,, dday,, url
-1,,Albert Brooks,,1947,,-1,, http://en.wikipedia.org/wiki/Albert_Brooks
-1,,Green Day[AA],,-1,,-1,, http://en.wikipedia.org/wiki/Green_Day
-1,,Philip Rosenthal,,1960,,-1,, http://en.wikipedia.org/wiki/Philip_Rosenthal
-1,,Tom Hanks,,1956,,-1,, http://en.wikipedia.org/wiki/Tom_Hanks
1,,June Foray,,1917,,-1,, http://en.wikipedia.org/wiki/June_Foray
1,,Paul Willson,,1945,,-1,, http://en.wikipedia.org/wiki/Paul_Willson
1,,Penny Marshall,,1943,,-1,, http://en.wikipedia.org/wiki/Penny_Marshall
1,,Ron Taylor,,1952,,2002,, http://en.wikipedia.org/wiki/Ron_Taylor_%28actor%29
1,,Sam McMurray,,1952,,-1,, http://en.wikipedia.org/wiki/Sam_McMurray
2,,Audrey Meadows,,1922,,1996,, http://en.wikipedia.org/wiki/Audrey_Meadows
2,,Cloris Leachman,,1926,,-1,, http://en.wikipedia.org/wiki/Cloris_Leachman
2,,Daniel Stern,,1957,,-1,, http://en.wikipedia.org/wiki/Daniel_Stern_%28actor%29
2,,Danny DeVito,,1944,,-1,, http://en.wikipedia.org/wiki/Danny_DeVito
2,,Daryl Coley,,-1,,-1,, http://en.wikipedia.org/wiki/Daryl_Coley
2,,Diane Tanaka,,-1,,-1,, http://en.wikipedia.org/w/index.php?
2,,Dustin Hoffman[C],,1937,,-1,, http://en.wikipedia.org/wiki/Dustin_Hoffman
2,,George Takei,,1937,,-1,, http://en.wikipedia.org/wiki/George_Takei
2,,Greg Berg,,1960,,-1,, http://en.wikipedia.org/wiki/Greg_Berg
2,,Harvey Fierstein,,1952,,-1,, http://en.wikipedia.org/wiki/Harvey_Fierstein
2,,James Earl Jones,,1931,,-1,, http://en.wikipedia.org/wiki/James_Earl_Jones
2,,Joey Miyashima,,1957,,-1,, http://en.wikipedia.org/wiki/Joey_Miyashima
2,,Ken Levine,,-1,,-1,, http://en.wikipedia.org/wiki/Ken_Levine_%28TV_personality%29
2,,Larry King,,1933,,-1,, http://en.wikipedia.org/wiki/Larry_King
2,,Ringo Starr,,1940,,-1,, http://en.wikipedia.org/wiki/Ringo_Starr
2,,Tom Poston,,1921,,2007,, http://en.wikipedia.org/wiki/Tom_Poston
2,,Tony Bennett,,1926,,-1,, http://en.wikipedia.org/wiki/Tony_Bennett
2,,Tracey Ullman,,1959,,-1,, http://en.wikipedia.org/wiki/Tracey_Ullman
3,,Aerosmith[E],,-1,,-1,, http://en.wikipedia.org/wiki/Aerosmith
3,,Beverly D'Angelo,,1951,,-1,, http://en.wikipedia.org/wiki/Beverly_D%27Angelo
3,,Chick Hearn,,1916,,2002,, http://en.wikipedia.org/wiki/Chick_Hearn
3,,Christopher Guest,,1948,,-1,, http://en.wikipedia.org/wiki/Christopher_Guest
3,,Darryl Strawberry,,1962,,-1,, http://en.wikipedia.org/wiki/Darryl_Strawberry
3,,Don Mattingly,,1961,,-1,, http://en.wikipedia.org/wiki/Don_Mattingly
3,,Jose Canseco,,1964,,-1,, http://en.wikipedia.org/wiki/Jose_Canseco
3,,Ken Griffey, Jr.,,1969,,-1,, http://en.wikipedia.org/wiki/Ken_Griffey,_Jr.
3,,Kimmy Robertson,,1954,,-1,, http://en.wikipedia.org/wiki/Kimmy_Robertson
3,,Kipp Lennon,,1960,,-1,, http://en.wikipedia.org/wiki/Kipp_Lennon
3,,Lona Williams,,-1,,-1,, http://en.wikipedia.org/wiki/Lona_Williams
3,,Magic Johnson,,1959,,-1,, http://en.wikipedia.org/wiki/Magic_Johnson
3,,Michael Jackson[D],,-1,,-1,, http://en.wikipedia.org/wiki/Michael_Jackson
