        1 	KONJUH, Ana 	0 	 CRO 	27 Dec 1997 	14 	1205.00
	2 	SINIAKOVA, Katerina 	0 	 CZE 	10 May 1996 	22 	1191.25
	3 	LOTTNER, Antonia 	0 	 GER 	13 Aug 1996 	17 	863.75
	4 	BENCIC, Belinda 	+2 	 SUI 	10 Mar 1997 	20 	847.50
	5 	ABANDA, Francoise 	-1 	 CAN 	05 Feb 1997 	18 	807.50
	6 	FLINK, Varvara 	-1 	 RUS 	13 Dec 1996 	28 	795.00
	7 	MERTENS, Elise 	0 	 BEL 	17 Nov 1995 	36 	711.25
	8 	GIANGRECO CAMPIZ, Camila 	+7 	 PAR 	24 Aug 1996 	25 	693.75
	9 	KONTAVEIT, Anett 	-1 	 EST 	24 Dec 1995 	11 	690.00
	10 	HSU, Ching-Wen 	-1 	 TPE 	19 Aug 1996 	27 	687.50
	11 	TOWNSEND, Taylor 	-1 	 USA 	16 Apr 1996 	12 	678.75
	12 	MAKAROVA, Christina 	-1 	 USA 	29 May 1996 	36 	676.25
	13 	KREJCIKOVA, Barbora 	+5 	 CZE 	18 Dec 1995 	25 	665.00
	14 	OSTAPENKO, Jelena 	0 	 LAT 	08 Jun 1997 	20 	661.25
	15 	ZHAO, Carol 	-2 	 CAN 	20 Jun 1995 	25 	653.75
	16 	UBERALOVA, Petra 	-4 	 SVK 	11 Apr 1995 	20 	638.75
	17 	SOYLU, Ipek 	-1 	 TUR 	15 Apr 1996 	27 	637.50
	18 	STOJANOVIC, Nina 	-1 	 SRB 	30 Jul 1996 	32 	637.50
	19 	KENNEL, Karin 	0 	 SUI 	05 Jul 1995 	13 	610.00
	20 	VEGA, Constanza 	0 	 ARG 	24 Sep 1995 	24 	607.50
	21 	KULICHKOVA, Elizaveta 	0 	 RUS 	12 Apr 1996 	19 	602.50
	22 	KASATKINA, Darya 	+3 	 RUS 	07 May 1997 	22 	590.00
	23 	DUNNE, Katy 	-1 	 GBR 	16 Feb 1995 	30 	588.75
	24 	KUDERMETOVA, Veronika 	+6 	 RUS 	24 Apr 1997 	30 	567.50
	25 	PLOSKINA, Helen 	+1 	 UKR 	20 Apr 1997 	23 	557.50
	26 	RODRIGUEZ, Victoria 	-3 	 MEX 	22 Apr 1995 	27 	547.50
	27 	DUCU, Ioana 	-3 	 ROU 	18 Apr 1996 	21 	543.75
	28 	CISNEROS, Alejandra 	-1 	 MEX 	18 Apr 1995 	25 	531.25
	29 	BOULTER, Katie 	-1 	 GBR 	01 Aug 1996 	35 	530.00
	30 	VICKERY, Sachia 	-1 	 USA 	11 May 1995 	14 	527.50
	31 	HADDAD MAIA, Beatriz 	0 	 BRA 	30 May 1996 	22 	510.00
	32 	CRAWFORD, Samantha 	0 	 USA 	18 Feb 1995 	2 	507.50
	33 	HAAS, Barbara 	+5 	 AUT 	19 Mar 1996 	24 	497.50
	34 	FERRO, Fiona 	-1 	 FRA 	12 Mar 1997 	28 	496.25
	35 	PARAZINSKAITE, Akvile 	+1 	 LTU 	29 Nov 1996 	23 	495.00
	36 	MARFUTINA, Maria 	-2 	 RUS 	06 Jun 1997 	26 	491.25
	37 	MATTEUCCI, Alice 	+8 	 ITA 	29 Sep 1995 	33 	486.25
	38 	BOUZKOVA, Marie 	-1 	 CZE 	21 Jul 1998 	22 	483.75
	39 	CSOREGI, Ilka 	-4 	 ROU 	12 Apr 1996 	24 	472.50
	40 	IP, Katherine 	0 	 HKG 	17 Sep 1995 	28 	471.25
	41 	GONZALEZ, Domenica 	0 	 ECU 	12 Feb 1996 	26 	470.00
	42 	LOEB, Jamie 	-3 	 USA 	08 Mar 1995 	18 	461.25
	43 	PANTUCKOVA, Gabriela 	+4 	 CZE 	10 Feb 1995 	25 	461.25
	44 	UCROS, Laura 	-1 	 COL 	13 Jun 1995 	32 	460.00
	45 	SAMIR, Sandra 	+1 	 EGY 	04 Nov 1997 	36 	455.00
	46 	XU, Shilin 	-4 	 CHN 	10 Jan 1998 	24 	455.00
	47 	LUSHKOVA, Viktoriya 	+11 	 UKR 	17 Aug 1996 	28 	451.25
	48 	DANILINA, Anna 	+1 	 KAZ 	20 Aug 1995 	12 	447.50
	49 	OKUNO, Ayaka 	-5 	 JPN 	21 Jun 1995 	21 	443.75
	50 	LEKAJ, Adrijana 	0 	 CRO 	29 Jun 1995 	20 	440.00
	51 	YAMAMOTO, Hikari 	0 	 JPN 	05 Oct 1995 	26 	437.50
	52 	RENAUD, Johnnise 	0 	 USA 	10 May 1996 	26 	437.50
	53 	ALVES, Carolina Meligeni Rodrigues 	0 	 BRA 	23 Apr 1996 	30 	436.25
	54 	KOMARDINA, Anastasiya 	-6 	 RUS 	08 Jul 1997 	27 	430.00
	55 	BUAYAM, Kamonwan 	-1 	 THA 	15 Feb 1996 	26 	427.50
	56 	SCHMIEDLOVA, Kristina 	+20 	 SVK 	06 Aug 1997 	23 	426.25
	57 	TOMIC, Sara 	-2 	 AUS 	05 Feb 1998 	31 	423.75
	58 	CHIRICO, Louisa 	-2 	 USA 	16 May 1996 	15 	422.50
	59 	ROSCA, Ioana Loredana 	-2 	 ROU 	20 Sep 1996 	22 	413.75
